id,xP,xP2
674,0.5,0.0
701,0.5,0.7
728,0.0,0.0
759,0.5,0.0
195,0.5,1.5
350,0.0,0.0
351,0.0,0.0
352,0.0,0.0
353,0.0,0.0
355,0.5,0.5
356,0.5,8.5
357,0.5,5.1
358,0.5,4.3
359,0.5,0.5
360,0.0,0.0
361,0.0,0.0
362,0.5,0.5
363,0.0,0.0
364,0.0,0.0
365,0.5,1.5
366,0.5,2.1
367,0.5,0.9
368,0.5,1.3
369,0.5,2.9
370,0.5,1.1
371,0.0,0.0
372,0.5,0.5
373,0.0,0.0
374,0.5,3.3
375,0.0,0.0
376,0.0,0.0
377,0.5,3.9
552,0.5,1.9
555,0.5,0.5
594,0.5,3.9
626,0.5,0.5
683,0.0,0.0
741,0.5,0.5
776,2.1,
295,0.0,0.0
349,0.0,0.0
354,0.0,0.0
378,0.0,0.0
379,0.0,0.0
380,0.0,0.0
381,0.0,0.0
382,0.0,0.0
383,0.0,0.0
384,0.0,0.0
385,0.0,0.0
386,0.0,0.0
387,0.0,2.0
388,0.0,2.2
389,0.0,0.0
390,0.0,0.0
391,0.0,0.2
392,0.0,0.0
393,0.0,0.0
394,0.0,3.0
395,0.0,0.0
396,0.0,0.0
397,0.0,7.8
398,0.0,0.0
399,0.0,0.0
474,0.0,0.5
493,0.0,5.8
507,0.0,2.0
511,0.0,0.0
518,0.0,0.2
523,0.0,0.5
524,0.0,0.0
527,0.0,0.0
536,0.0,3.2
553,0.0,0.0
582,0.0,0.0
583,0.0,1.0
585,0.0,0.0
602,0.0,2.5
621,0.0,0.0
628,0.0,2.2
666,0.0,0.0
675,0.0,0.0
681,0.0,0.0
703,0.0,4.7
729,0.0,0.0
730,0.0,2.1
734,0.0,0.0
749,0.0,0.0
21,-1.0,0.2
321,-1.0,1.2
400,-1.0,0.2
401,-1.0,0.2
402,0.0,0.0
403,0.0,0.0
405,-1.0,2.5
406,-1.0,1.0
407,-1.0,4.2
408,-1.0,-0.2
409,-1.0,-0.5
410,-1.0,-0.8
411,0.0,0.0
412,0.0,0.0
413,-1.0,1.5
414,0.0,0.0
415,0.0,0.0
416,-1.0,-1.0
417,0.0,0.0
418,-1.0,-0.5
419,-1.0,-0.8
420,0.0,0.0
421,0.0,0.0
422,-1.0,-1.0
423,0.0,0.0
424,-1.0,-1.0
512,-1.0,-0.5
528,-1.0,-0.8
622,0.0,0.0
623,-1.0,-1.0
624,0.0,0.0
647,0.0,0.0
648,0.0,0.0
671,0.0,0.0
692,-1.0,-1.0
693,-1.0,2.0
716,-1.0,-1.0
731,-1.0,1.2
732,-0.8,-0.1
769,-1.0,0.4
770,-1.0,0.2
778,0.4,
425,0.0,0.0
426,0.0,1.8
427,0.0,7.5
428,0.0,4.0
429,0.0,0.0
430,0.0,0.0
431,0.0,0.5
432,0.0,1.8
433,0.0,1.4
434,0.0,0.0
435,0.0,0.2
436,0.0,0.0
437,0.0,0.0
438,0.0,0.0
439,0.0,0.0
440,0.0,0.0
441,0.0,2.0
442,0.0,0.0
443,0.0,0.0
444,0.0,0.5
445,0.0,2.0
446,0.0,2.2
447,0.0,0.0
448,0.0,1.5
449,0.0,0.0
450,0.0,0.2
451,0.0,0.0
452,0.0,0.0
453,0.0,0.0
454,0.0,2.2
513,0.0,1.8
522,0.0,0.0
554,0.0,0.0
713,0.0,1.2
733,0.0,3.8
748,0.0,0.0
758,0.0,0.0
764,0.0,0.0
777,1.4,
30,0.0,1.8
455,0.0,3.0
456,0.0,2.2
457,0.0,1.6
458,0.0,2.2
460,0.0,1.8
461,0.0,0.4
462,0.0,0.0
463,0.0,0.6
464,0.0,2.8
465,0.0,4.2
466,0.0,0.0
467,0.0,3.0
468,0.0,4.2
469,0.0,1.4
471,0.0,0.6
472,0.0,3.0
473,0.0,0.0
509,0.0,0.8
529,0.0,0.0
545,0.0,0.8
556,0.0,0.0
572,0.0,0.0
575,0.0,0.4
588,0.0,1.6
603,0.0,2.2
669,0.0,0.4
739,0.0,0.0
740,0.0,0.0
746,0.0,0.0
459,-0.5,1.3
476,-0.5,-0.3
477,-0.5,-0.5
478,-0.5,1.5
480,-0.5,2.5
481,-0.5,3.0
482,-0.5,1.0
483,-0.5,0.7
484,-0.5,1.3
485,0.0,0.0
486,-0.5,1.0
487,-0.5,-0.5
488,0.0,0.0
489,-0.5,4.0
490,0.0,0.0
491,-0.5,1.3
492,0.0,0.0
494,0.0,0.0
503,-0.5,-0.3
516,-0.5,0.3
557,0.0,0.0
558,-0.5,-0.5
566,-0.5,-0.5
567,0.0,0.0
568,0.0,0.0
579,0.0,0.0
589,-0.5,1.3
608,0.0,0.0
625,-0.5,0.5
629,-0.5,-0.3
657,-0.5,-0.5
658,-0.5,-0.5
664,-0.5,-0.5
682,-0.5,0.7
698,-0.5,1.5
704,-0.5,0.3
717,-0.5,1.0
721,-0.5,0.3
